抄表记录ID,抄表册ID,地址ID,表具ID,用户ID,区域ID,抄表员ID,抄表区间,抄表日期,量程,调节因子,本次表底读数,上次表底读数,本次用气量,超量程标志,价格ID,调节用气量,抄表记录修改标志,抄表记录修改时间,抄表记录修改备注,抄表记录修改人员ID,抄表状态,备注,抄表描述,预算金额,表钢号
1021799,N/A,02010603,02010603,02010603,0201,N/A,201709,2017-09-05,999999999,1.000,135,123,12,0,5,0,1,N/A,N/A,N/A,3,N/A,1,22.80,A115093442
1053776,N/A,02010603,02010603,02010603,0201,N/A,201710,2017-10-06,999999999,1.000,147,135,12,0,5,0,1,N/A,N/A,N/A,3,N/A,1,22.80,A115093442
1084142,N/A,02010603,02010603,02010603,0201,N/A,201711,2017-11-04,999999999,1.000,157,147,10,0,5,0,1,N/A,N/A,N/A,3,N/A,1,19.00,A115093442
1113854,N/A,02010603,02010603,02010603,0201,N/A,201712,2017-12-04,999999999,1.000,162,157,5,0,5,0,1,N/A,N/A,N/A,3,N/A,1,9.50,A115093442
756802,N/A,02010603,02010603,02010603,0201,N/A,201612,2016-12-06,999999999,1.000,3,0,3,0,5,0,1,N/A,N/A,N/A,3,N/A,1,5.70,A115093442
780816,N/A,02010603,02010603,02010603,0201,N/A,201701,2017-01-04,999999999,1.000,27,3,24,0,5,0,1,N/A,N/A,N/A,3,N/A,1,45.60,A115093442
806981,N/A,02010603,02010603,02010603,0201,N/A,201702,2017-02-05,999999999,1.000,85,27,58,0,5,0,1,N/A,N/A,N/A,3,N/A,1,110.20,A115093442
841216,N/A,02010603,02010603,02010603,0201,N/A,201703,2017-03-03,999999999,1.000,101,85,16,0,5,0,1,N/A,N/A,N/A,3,N/A,1,30.40,A115093442
872255,N/A,02010603,02010603,02010603,0201,N/A,201704,2017-04-05,999999999,1.000,106,101,5,0,5,0,1,N/A,N/A,N/A,3,N/A,1,9.50,A115093442
894160,N/A,02010603,02010603,02010603,0201,N/A,201705,2017-05-03,999999999,1.000,106,106,0,0,5,0,1,N/A,N/A,N/A,3,N/A,1,0.00,A115093442
