主流水ID,次流水号,用户ID,地址ID,交款时间,缴费渠道,支付帐号,发票号,开票时间,主流水类型,子流水类型,操作员ID,交易前账户剩余金额,本次交易金额,交易后账户剩余金额,交易前账户剩余气量,本次交易气量,交易后账户剩余气量
756802,1,02010603,02010603,2016-12-16 09:53:04,现金,N/A,518427,2016-12-16 00:00:00,86,8,12,0.00,6.00,6.00,N/A,N/A,N/A
756802,2,02010603,02010603,2016-12-16 09:53:04,现金,N/A,518427,2016-12-16 00:00:00,86,6,12,6.00,5.70,0.30,N/A,N/A,N/A
780816,1,02010603,02010603,2017-01-19 14:14:46,现金,N/A,531570,2017-01-19 00:00:00,86,8,12,0.30,46.00,46.30,N/A,N/A,N/A
780816,2,02010603,02010603,2017-01-19 14:14:46,现金,N/A,531570,2017-01-19 00:00:00,86,6,12,46.30,45.60,0.70,N/A,N/A,N/A
806981,1,02010603,02010603,2017-02-13 09:51:04,现金,N/A,537805,2017-02-13 00:00:00,86,8,16,0.70,110.00,110.70,N/A,N/A,N/A
806981,2,02010603,02010603,2017-02-13 09:51:04,现金,N/A,537805,2017-02-13 00:00:00,86,6,16,110.70,110.20,0.50,N/A,N/A,N/A
841216,1,02010603,02010603,2017-03-17 10:28:07,现金,N/A,554032,2017-03-17 00:00:00,86,8,12,0.50,30.00,30.50,N/A,N/A,N/A
841216,2,02010603,02010603,2017-03-17 10:28:07,现金,N/A,554032,2017-03-17 00:00:00,86,6,12,30.50,30.40,0.10,N/A,N/A,N/A
872255,1,02010603,02010603,2017-04-18 10:44:52,现金,N/A,566497,2017-04-18 00:00:00,86,8,13,0.10,10.00,10.10,N/A,N/A,N/A
872255,2,02010603,02010603,2017-04-18 10:44:52,现金,N/A,566497,2017-04-18 00:00:00,86,6,13,10.10,9.50,0.60,N/A,N/A,N/A
920544,1,02010603,02010603,2017-06-14 16:15:05,现金,N/A,586103,2017-06-14 00:00:00,86,8,18,0.60,9.00,9.60,N/A,N/A,N/A
920544,2,02010603,02010603,2017-06-14 16:15:05,现金,N/A,586103,2017-06-14 00:00:00,86,6,18,9.60,9.50,0.10,N/A,N/A,N/A
956764,1,02010603,02010603,2017-07-14 15:47:30,现金,N/A,596864,2017-07-14 00:00:00,86,8,12,0.10,12.00,12.10,N/A,N/A,N/A
956764,2,02010603,02010603,2017-07-14 15:47:30,现金,N/A,596864,2017-07-14 00:00:00,86,6,12,12.10,11.40,0.70,N/A,N/A,N/A
989466,1,02010603,02010603,2017-08-12 15:46:13,现金,N/A,605984,2017-08-12 00:00:00,86,8,13,0.70,11.00,11.70,N/A,N/A,N/A
989466,2,02010603,02010603,2017-08-12 15:46:13,现金,N/A,605984,2017-08-12 00:00:00,86,6,13,11.70,11.40,0.30,N/A,N/A,N/A
1021799,1,02010603,02010603,2017-09-14 15:56:45,现金,N/A,619380,2017-09-14 00:00:00,86,8,12,0.30,23.00,23.30,N/A,N/A,N/A
1021799,2,02010603,02010603,2017-09-14 15:56:45,现金,N/A,619380,2017-09-14 00:00:00,86,6,12,23.30,22.80,0.50,N/A,N/A,N/A
1053776,1,02010603,02010603,2017-10-12 15:52:39,现金,N/A,628633,2017-10-12 00:00:00,86,8,18,0.50,23.00,23.50,N/A,N/A,N/A
1053776,2,02010603,02010603,2017-10-12 15:52:39,现金,N/A,628633,2017-10-12 00:00:00,86,6,18,23.50,22.80,0.70,N/A,N/A,N/A
1084142,1,02010603,02010603,2017-11-13 16:35:54,现金,N/A,640959,2017-11-13 00:00:00,86,8,12,0.70,19.00,19.70,N/A,N/A,N/A
1084142,2,02010603,02010603,2017-11-13 16:35:54,现金,N/A,640959,2017-11-13 00:00:00,86,6,12,19.70,19.00,0.70,N/A,N/A,N/A
1113854,1,02010603,02010603,2017-12-10 16:42:38,现金,N/A,649126,2017-12-10 00:00:00,86,8,13,0.70,9.00,9.70,N/A,N/A,N/A
1113854,2,02010603,02010603,2017-12-10 16:42:38,现金,N/A,649126,2017-12-10 00:00:00,86,6,13,9.70,9.50,0.20,N/A,N/A,N/A
780818,1,02010604,02010604,2017-01-12 14:49:08,现金,N/A,526248,2017-01-12 00:00:00,86,8,12,0.00,14.00,14.00,N/A,N/A,N/A
780818,2,02010604,02010604,2017-01-12 14:49:08,现金,N/A,526248,2017-01-12 00:00:00,86,6,12,14.00,13.30,0.70,N/A,N/A,N/A
806988,1,02010604,02010604,2017-02-11 14:38:09,现金,N/A,535675,2017-02-11 00:00:00,86,8,13,0.70,30.00,30.70,N/A,N/A,N/A
806988,2,02010604,02010604,2017-02-11 14:38:09,现金,N/A,535675,2017-02-11 00:00:00,86,6,13,30.70,30.40,0.30,N/A,N/A,N/A
841218,1,02010604,02010604,2017-03-11 10:59:25,现金,N/A,548007,2017-03-11 00:00:00,86,8,14,0.30,8.00,8.30,N/A,N/A,N/A
841218,2,02010604,02010604,2017-03-11 10:59:25,现金,N/A,548007,2017-03-11 00:00:00,86,6,14,8.30,7.60,0.70,N/A,N/A,N/A
872257,1,02010604,02010604,2017-04-10 08:27:53,现金,N/A,557831,2017-04-10 00:00:00,86,8,16,0.70,17.00,17.70,N/A,N/A,N/A
872257,2,02010604,02010604,2017-04-10 08:27:53,现金,N/A,557831,2017-04-10 00:00:00,86,6,16,17.70,17.10,0.60,N/A,N/A,N/A
894164,1,02010604,02010604,2017-05-09 11:53:04,现金,N/A,569111,2017-05-09 00:00:00,86,8,14,0.60,21.00,21.60,N/A,N/A,N/A
894164,2,02010604,02010604,2017-05-09 11:53:04,现金,N/A,569111,2017-05-09 00:00:00,86,6,14,21.60,20.90,0.70,N/A,N/A,N/A
920546,1,02010604,02010604,2017-06-11 11:26:06,现金,N/A,582150,2017-06-11 00:00:00,86,8,16,0.70,15.00,15.70,N/A,N/A,N/A
